24.02胡蝶	OH_OO渋谷源氏	270	280	B	西	西	ニシ	名詞-普通名詞-一般			ニシ	和
24.02胡蝶	OH_OO渋谷源氏	280	290	I	の	の	ノ	助詞-格助詞			ノ	和
24.02胡蝶	OH_OO渋谷源氏	290	300	I	対	対	タイ	名詞-普通名詞-一般			タイ	漢
24.02胡蝶	OH_OO渋谷源氏	300	310	I	の	の	ノ	助詞-格助詞			ノ	和
24.02胡蝶	OH_OO渋谷源氏	310	320	I	御	御	オオン	接頭辞			オオン	和
24.02胡蝶	OH_OO渋谷源氏	320	330	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
24.02胡蝶	OH_OO渋谷源氏	330	340	I	は	は	ハ	助詞-係助詞			ワ	和
24.02胡蝶	OH_OO渋谷源氏	340	350	I	、	、		補助記号-読点				記号
24.02胡蝶	OH_OO渋谷源氏	350	360	I	か	彼	カ	代名詞			カ	和
24.02胡蝶	OH_OO渋谷源氏	360	370	I	の	の	ノ	助詞-格助詞			ノ	和
24.02胡蝶	OH_OO渋谷源氏	370	390	I	踏歌	踏歌	トウカ	名詞-普通名詞-一般			トーカ	漢
24.02胡蝶	OH_OO渋谷源氏	390	400	I	の	の	ノ	助詞-格助詞			ノ	和
24.02胡蝶	OH_OO渋谷源氏	400	410	I	折	折	オリ	名詞-普通名詞-副詞可能			オリ	和
24.02胡蝶	OH_OO渋谷源氏	410	420	I	の	の	ノ	助詞-格助詞			ノ	和
24.02胡蝶	OH_OO渋谷源氏	420	430	I	御	御	オオン	接頭辞			オオン	和
24.02胡蝶	OH_OO渋谷源氏	430	450	I	対面	対面	タイメン	名詞-普通名詞-サ変可能			タイメン	漢
24.02胡蝶	OH_OO渋谷源氏	450	460	I	の	の	ノ	助詞-格助詞			ノ	和
24.02胡蝶	OH_OO渋谷源氏	460	470	I	後	後	ノチ	名詞-普通名詞-副詞可能			ノチ	和
24.02胡蝶	OH_OO渋谷源氏	470	480	I	は	は	ハ	助詞-係助詞			ワ	和
24.02胡蝶	OH_OO渋谷源氏	480	490	I	、	、		補助記号-読点				記号
24.02胡蝶	OH_OO渋谷源氏	490	520	I	こなた	此方	コナタ	代名詞			コナタ	和
24.02胡蝶	OH_OO渋谷源氏	520	530	I	に	に	ニ	助詞-格助詞			ニ	和
24.02胡蝶	OH_OO渋谷源氏	530	540	I	も	も	モ	助詞-係助詞			モ	和
24.02胡蝶	OH_OO渋谷源氏	540	570	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
24.02胡蝶	OH_OO渋谷源氏	570	600	I	交はし	交わす	カワス	動詞-非自立可能	文語四段-サ行	連用形-一般	カワシ	和
24.02胡蝶	OH_OO渋谷源氏	600	630	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
