07.04紅葉賀	OH_OO渋谷源氏	330	340	B	帝	帝	ミカド	名詞-普通名詞-一般			ミカド	和
07.04紅葉賀	OH_OO渋谷源氏	340	350	I	の	の	ノ	助詞-格助詞			ノ	和
07.04紅葉賀	OH_OO渋谷源氏	350	360	I	御	御	オオン	接頭辞			オオン	和
07.04紅葉賀	OH_OO渋谷源氏	360	370	I	年	年	トシ	名詞-普通名詞-副詞可能			トシ	和
07.04紅葉賀	OH_OO渋谷源氏	370	380	I	、	、		補助記号-読点				記号
07.04紅葉賀	OH_OO渋谷源氏	380	400	I	ねび	ねびる	ネビル	動詞-一般	文語上二段-バ行	未然形-一般	ネビ	和
07.04紅葉賀	OH_OO渋谷源氏	400	420	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
07.04紅葉賀	OH_OO渋谷源氏	420	450	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
07.04紅葉賀	OH_OO渋谷源氏	450	470	I	ぬれ	ぬ	ヌ	助動詞	文語助動詞-ヌ	已然形-一般	ヌレ	和
07.04紅葉賀	OH_OO渋谷源氏	470	480	I	ど	ど	ド	助詞-接続助詞			ド	和
07.04紅葉賀	OH_OO渋谷源氏	480	490	I	、	、		補助記号-読点				記号
07.04紅葉賀	OH_OO渋谷源氏	490	530	I	かうやう	斯樣	カクヨウ	形状詞-一般			コーヨー	混
07.04紅葉賀	OH_OO渋谷源氏	530	540	I	の	の	ノ	助詞-格助詞			ノ	和
07.04紅葉賀	OH_OO渋谷源氏	540	550	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
07.04紅葉賀	OH_OO渋谷源氏	550	560	I	、	、		補助記号-読点				記号
07.04紅葉賀	OH_OO渋谷源氏	560	570	I	え	え	エ	副詞			エ	和
07.04紅葉賀	OH_OO渋谷源氏	570	600	I	過ぐさ	過ぐす	スグス	動詞-一般	文語四段-サ行	未然形-一般	スグサ	和
07.04紅葉賀	OH_OO渋谷源氏	600	610	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
07.04紅葉賀	OH_OO渋谷源氏	610	640	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
