07.05紅葉賀	OH_OO渋谷源氏	330	350	B	七月	文月	フミヅキ	名詞-普通名詞-一般			フミズキ	和
07.05紅葉賀	OH_OO渋谷源氏	350	360	I	に	に	ニ	助詞-格助詞			ニ	和
07.05紅葉賀	OH_OO渋谷源氏	360	370	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
07.05紅葉賀	OH_OO渋谷源氏	370	380	I	后	后	キサキ	名詞-普通名詞-一般			キサキ	和
07.05紅葉賀	OH_OO渋谷源氏	380	390	I	ゐ	居る	イル	動詞-非自立可能	文語上一段-ワ行	連用形-一般	イ	和
07.05紅葉賀	OH_OO渋谷源氏	390	420	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
07.05紅葉賀	OH_OO渋谷源氏	420	440	I	めり	めり	メリ	助動詞	文語助動詞-メリ	連用形-一般	メリ	和
07.05紅葉賀	OH_OO渋谷源氏	440	450	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
07.05紅葉賀	OH_OO渋谷源氏	450	460	I	。	。		補助記号-句点				記号
07.05紅葉賀	OH_OO渋谷源氏	460	470	B	源	ゲン	ゲン	名詞-固有名詞-人名-姓			ゲン	固
07.05紅葉賀	OH_OO渋谷源氏	470	480	I	氏	氏	シ	接尾辞-名詞的-一般			ジ	漢
07.05紅葉賀	OH_OO渋谷源氏	480	490	I	の	の	ノ	助詞-格助詞			ノ	和
07.05紅葉賀	OH_OO渋谷源氏	490	500	I	君	君	キミ	名詞-普通名詞-一般			キミ	和
07.05紅葉賀	OH_OO渋谷源氏	500	510	I	、	、		補助記号-読点				記号
07.05紅葉賀	OH_OO渋谷源氏	510	530	I	宰相	宰相	サイショウ	名詞-普通名詞-一般			サイショー	漢
07.05紅葉賀	OH_OO渋谷源氏	530	540	I	に	に	ニ	助詞-格助詞			ニ	和
07.05紅葉賀	OH_OO渋谷源氏	540	560	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
07.05紅葉賀	OH_OO渋谷源氏	560	590	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
07.05紅葉賀	OH_OO渋谷源氏	590	600	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
07.05紅葉賀	OH_OO渋谷源氏	600	610	I	。	。		補助記号-句点				記号
07.05紅葉賀	OH_OO渋谷源氏	610	620	B	帝	帝	ミカド	名詞-普通名詞-一般			ミカド	和
07.05紅葉賀	OH_OO渋谷源氏	620	630	I	，	，		補助記号-読点				記号
07.05紅葉賀	OH_OO渋谷源氏	630	650	I	下り	下りる	オリル	動詞-一般	文語上二段-ラ行	連用形-一般	オリ	和
07.05紅葉賀	OH_OO渋谷源氏	650	660	I	ゐ	居る	イル	動詞-非自立可能	文語上一段-ワ行	未然形-一般	イ	和
07.05紅葉賀	OH_OO渋谷源氏	660	680	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
07.05紅葉賀	OH_OO渋谷源氏	680	710	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
07.05紅葉賀	OH_OO渋谷源氏	710	720	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
07.05紅葉賀	OH_OO渋谷源氏	720	730	I	の	の	ノ	助詞-格助詞			ノ	和
07.05紅葉賀	OH_OO渋谷源氏	730	740	I	御	御	ミ	接頭辞			ミ	和
07.05紅葉賀	OH_OO渋谷源氏	740	780	I	心づかひ	心遣い	ココロヅカイ	名詞-普通名詞-一般			ココロズカイ	和
07.05紅葉賀	OH_OO渋谷源氏	780	800	I	近う	近い	チカイ	形容詞-一般	文語形容詞-ク	連用形-ウ音便	チコー	和
07.05紅葉賀	OH_OO渋谷源氏	800	820	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
07.05紅葉賀	OH_OO渋谷源氏	820	830	I	て	て	テ	助詞-接続助詞			テ	和
07.05紅葉賀	OH_OO渋谷源氏	830	840	I	、	、		補助記号-読点				記号
07.05紅葉賀	OH_OO渋谷源氏	840	850	I	こ	是	コ	代名詞			コ	和
07.05紅葉賀	OH_OO渋谷源氏	850	860	I	の	の	ノ	助詞-格助詞			ノ	和
07.05紅葉賀	OH_OO渋谷源氏	860	880	I	若宮	若宮	ワカミヤ	名詞-普通名詞-一般			ワカミヤ	和
07.05紅葉賀	OH_OO渋谷源氏	880	890	I	を	を	ヲ	助詞-格助詞			オ	和
07.05紅葉賀	OH_OO渋谷源氏	890	900	I	坊	坊	ボウ	名詞-普通名詞-一般			ボー	漢
07.05紅葉賀	OH_OO渋谷源氏	900	910	I	に	に	ニ	助詞-格助詞			ニ	和
07.05紅葉賀	OH_OO渋谷源氏	910	920	I	、	、		補助記号-読点				記号
07.05紅葉賀	OH_OO渋谷源氏	920	930	I	と	と	ト	助詞-格助詞			ト	和
07.05紅葉賀	OH_OO渋谷源氏	930	950	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
