38.02鈴虫	OH_OO渋谷源氏	250	280	B	秋ごろ	秋頃	アキゴロ	名詞-普通名詞-副詞可能			アキゴロ	和
38.02鈴虫	OH_OO渋谷源氏	280	290	I	、	、		補助記号-読点				記号
38.02鈴虫	OH_OO渋谷源氏	290	300	I	西	西	ニシ	名詞-普通名詞-一般			ニシ	和
38.02鈴虫	OH_OO渋谷源氏	300	310	I	の	の	ノ	助詞-格助詞			ノ	和
38.02鈴虫	OH_OO渋谷源氏	310	330	I	渡殿	渡殿	ワタドノ	名詞-普通名詞-一般			ワタドノ	和
38.02鈴虫	OH_OO渋谷源氏	330	340	I	の	の	ノ	助詞-格助詞			ノ	和
38.02鈴虫	OH_OO渋谷源氏	340	350	I	前	前	マエ	名詞-普通名詞-副詞可能			マエ	和
38.02鈴虫	OH_OO渋谷源氏	350	360	I	、	、		補助記号-読点				記号
38.02鈴虫	OH_OO渋谷源氏	360	370	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
38.02鈴虫	OH_OO渋谷源氏	370	380	I	の	の	ノ	助詞-格助詞			ノ	和
38.02鈴虫	OH_OO渋谷源氏	380	390	I	塀	塀	ヘイ	名詞-普通名詞-一般			ヘー	漢
38.02鈴虫	OH_OO渋谷源氏	390	400	I	の	の	ノ	助詞-格助詞			ノ	和
38.02鈴虫	OH_OO渋谷源氏	400	410	I	東	東	ヒガシ	名詞-普通名詞-一般			ヒンガシ	和
38.02鈴虫	OH_OO渋谷源氏	410	420	I	の	の	ノ	助詞-格助詞			ノ	和
38.02鈴虫	OH_OO渋谷源氏	420	430	I	際	際	キワ	名詞-普通名詞-一般			キワ	和
38.02鈴虫	OH_OO渋谷源氏	430	440	I	を	を	ヲ	助詞-格助詞			オ	和
38.02鈴虫	OH_OO渋谷源氏	440	450	I	、	、		補助記号-読点				記号
38.02鈴虫	OH_OO渋谷源氏	450	470	I	おし	押す	オス	動詞-一般	文語四段-サ行	連用形-一般	オシ	和
38.02鈴虫	OH_OO渋谷源氏	470	490	I	なべ	並べる	ナベル	動詞-一般	文語下二段-バ行	連用形-一般	ナベ	和
38.02鈴虫	OH_OO渋谷源氏	490	500	I	て	て	テ	助詞-接続助詞			テ	和
38.02鈴虫	OH_OO渋谷源氏	500	510	I	野	野	ノ	名詞-普通名詞-一般			ノ	和
38.02鈴虫	OH_OO渋谷源氏	510	520	I	に	に	ニ	助詞-格助詞			ニ	和
38.02鈴虫	OH_OO渋谷源氏	520	540	I	作ら	作る	ツクル	動詞-一般	文語四段-ラ行	未然形-一般	ツクラ	和
38.02鈴虫	OH_OO渋谷源氏	540	550	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
38.02鈴虫	OH_OO渋谷源氏	550	580	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
38.02鈴虫	OH_OO渋谷源氏	580	590	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
38.02鈴虫	OH_OO渋谷源氏	590	600	I	。	。		補助記号-句点				記号
38.02鈴虫	OH_OO渋谷源氏	600	620	B	閼伽	閼伽	アカ	名詞-普通名詞-一般			アカ	外
38.02鈴虫	OH_OO渋谷源氏	620	630	I	の	の	ノ	助詞-格助詞			ノ	和
38.02鈴虫	OH_OO渋谷源氏	630	640	I	棚	棚	タナ	名詞-普通名詞-一般			タナ	和
38.02鈴虫	OH_OO渋谷源氏	640	660	I	など	など	ナド	助詞-副助詞			ナド	和
38.02鈴虫	OH_OO渋谷源氏	660	670	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
38.02鈴虫	OH_OO渋谷源氏	670	680	I	て	て	テ	助詞-接続助詞			テ	和
38.02鈴虫	OH_OO渋谷源氏	680	690	I	、	、		補助記号-読点				記号
38.02鈴虫	OH_OO渋谷源氏	690	700	I	そ	其	ソ	代名詞			ソ	和
38.02鈴虫	OH_OO渋谷源氏	700	710	I	の	の	ノ	助詞-格助詞			ノ	和
38.02鈴虫	OH_OO渋谷源氏	710	720	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
38.02鈴虫	OH_OO渋谷源氏	720	730	I	に	に	ニ	助詞-格助詞			ニ	和
38.02鈴虫	OH_OO渋谷源氏	730	740	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
38.02鈴虫	OH_OO渋谷源氏	740	760	I	なさ	成す	ナス	動詞-一般	文語四段-サ行	未然形-一般	ナサ	和
38.02鈴虫	OH_OO渋谷源氏	760	770	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
38.02鈴虫	OH_OO渋谷源氏	770	800	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
38.02鈴虫	OH_OO渋谷源氏	800	810	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
38.02鈴虫	OH_OO渋谷源氏	810	820	I	御	御	オオン	接頭辞			オオン	和
