47.05総角	OH_OO渋谷源氏	230	250	B	十月	神無月	カミナヅキ	名詞-普通名詞-一般			カミナズキ	和
47.05総角	OH_OO渋谷源氏	250	270	I	朔日	一日	ツイタチ	名詞-普通名詞-副詞可能			ツイタチ	和
47.05総角	OH_OO渋谷源氏	270	290	I	ころ	頃	コロ	名詞-普通名詞-副詞可能			コロ	和
47.05総角	OH_OO渋谷源氏	290	300	I	、	、		補助記号-読点				記号
47.05総角	OH_OO渋谷源氏	300	320	I	網代	網代	アジロ	名詞-普通名詞-一般			アジロ	和
47.05総角	OH_OO渋谷源氏	320	330	I	も	も	モ	助詞-係助詞			モ	和
47.05総角	OH_OO渋谷源氏	330	370	I	をかしき	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	オカシキ	和
47.05総角	OH_OO渋谷源氏	370	390	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
47.05総角	OH_OO渋谷源氏	390	410	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
47.05総角	OH_OO渋谷源氏	410	420	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
47.05総角	OH_OO渋谷源氏	420	430	I	と	と	ト	助詞-格助詞			ト	和
47.05総角	OH_OO渋谷源氏	430	440	I	、	、		補助記号-読点				記号
47.05総角	OH_OO渋谷源氏	440	490	I	そそのかし	唆す	ソソノカス	動詞-一般	文語四段-サ行	連用形-一般	ソソノカシ	和
47.05総角	OH_OO渋谷源氏	490	520	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
47.05総角	OH_OO渋谷源氏	520	550	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
47.05総角	OH_OO渋谷源氏	550	560	I	て	て	テ	助詞-接続助詞			テ	和
47.05総角	OH_OO渋谷源氏	560	570	I	、	、		補助記号-読点				記号
47.05総角	OH_OO渋谷源氏	570	590	I	紅葉	紅葉	モミジ	名詞-普通名詞-一般			モミジ	和
47.05総角	OH_OO渋谷源氏	590	610	I	御覧	御覧	ゴラン	名詞-普通名詞-一般			ゴラン	漢
47.05総角	OH_OO渋谷源氏	610	620	I	ず	為る	スル	動詞-非自立可能	文語サ行変格	終止形-一般	ズ	和
47.05総角	OH_OO渋谷源氏	620	640	I	べく	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-一般	ベク	和
47.05総角	OH_OO渋谷源氏	640	660	I	申し	申す	モウス	動詞-非自立可能	文語四段-サ行	連用形-一般	モーシ	和
47.05総角	OH_OO渋谷源氏	660	690	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
