01.01桐壺	OH_OO渋谷源氏	10	40	B	いづれ	何れ	イズレ	代名詞			イズレ	和
01.01桐壺	OH_OO渋谷源氏	40	50	I	の	の	ノ	助詞-格助詞			ノ	和
01.01桐壺	OH_OO渋谷源氏	50	60	I	御	御	オオン	接頭辞			オオン	和
01.01桐壺	OH_OO渋谷源氏	60	70	I	時	時	トキ	名詞-普通名詞-副詞可能			トキ	和
01.01桐壺	OH_OO渋谷源氏	70	80	I	に	に	ニ	助詞-格助詞			ニ	和
01.01桐壺	OH_OO渋谷源氏	80	90	I	か	か	カ	助詞-係助詞			カ	和
01.01桐壺	OH_OO渋谷源氏	90	100	I	、	、		補助記号-読点				記号
01.01桐壺	OH_OO渋谷源氏	100	120	I	女御	女御	ニョウゴ	名詞-普通名詞-一般			ニョーゴ	漢
01.01桐壺	OH_OO渋谷源氏	120	130	I	，	，		補助記号-読点				記号
01.01桐壺	OH_OO渋谷源氏	130	150	I	更衣	更衣	コウイ	名詞-普通名詞-サ変可能			コーイ	漢
01.01桐壺	OH_OO渋谷源氏	150	180	I	あまた	数多	アマタ	名詞-普通名詞-一般			アマタ	和
01.01桐壺	OH_OO渋谷源氏	180	220	I	さぶらひ	侍う	サブラウ	動詞-一般	文語四段-ハ行	連用形-一般	サブライ	和
01.01桐壺	OH_OO渋谷源氏	220	250	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
01.01桐壺	OH_OO渋谷源氏	250	270	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
01.01桐壺	OH_OO渋谷源氏	270	290	I	なか	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
01.01桐壺	OH_OO渋谷源氏	290	300	I	に	に	ニ	助詞-格助詞			ニ	和
01.01桐壺	OH_OO渋谷源氏	300	310	I	、	、		補助記号-読点				記号
01.01桐壺	OH_OO渋谷源氏	310	330	I	いと	いと	イト	副詞			イト	和
01.01桐壺	OH_OO渋谷源氏	330	390	I	やむごとなき	やんごとない	ヤンゴトナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ヤンゴトナキ	和
01.01桐壺	OH_OO渋谷源氏	390	400	I	際	際	キワ	名詞-普通名詞-一般			キワ	和
01.01桐壺	OH_OO渋谷源氏	400	410	I	に	に	ニ	助詞-格助詞			ニ	和
01.01桐壺	OH_OO渋谷源氏	410	420	I	は	は	ハ	助詞-係助詞			ワ	和
01.01桐壺	OH_OO渋谷源氏	420	440	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
