07.01紅葉賀	OH_OO渋谷源氏	330	350	B	朱雀	スザク	スザク	名詞-固有名詞-人名-一般			スザク	固
07.01紅葉賀	OH_OO渋谷源氏	350	360	I	院	院	イン	接尾辞-名詞的-一般			イン	漢
07.01紅葉賀	OH_OO渋谷源氏	360	370	I	の	の	ノ	助詞-格助詞			ノ	和
07.01紅葉賀	OH_OO渋谷源氏	370	390	I	行幸	行幸	ギョウコウ	名詞-普通名詞-サ変可能			ギョーゴー	漢
07.01紅葉賀	OH_OO渋谷源氏	390	400	I	は	は	ハ	助詞-係助詞			ワ	和
07.01紅葉賀	OH_OO渋谷源氏	400	410	I	、	、		補助記号-読点				記号
07.01紅葉賀	OH_OO渋谷源氏	410	440	I	神無月	神無月	カミナヅキ	名詞-普通名詞-一般			カミナズキ	和
07.01紅葉賀	OH_OO渋谷源氏	440	450	I	の	の	ノ	助詞-格助詞			ノ	和
07.01紅葉賀	OH_OO渋谷源氏	450	460	I	十	十	トオ	名詞-数詞			トー	和
07.01紅葉賀	OH_OO渋谷源氏	460	470	I	日	日	カ	接尾辞-名詞的-助数詞			カ	和
07.01紅葉賀	OH_OO渋谷源氏	470	500	I	あまり	余り	アマリ	名詞-普通名詞-一般			アマリ	和
07.01紅葉賀	OH_OO渋谷源氏	500	520	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
07.01紅葉賀	OH_OO渋谷源氏	520	530	I	。	。		補助記号-句点				記号
07.01紅葉賀	OH_OO渋谷源氏	530	540	B	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
07.01紅葉賀	OH_OO渋谷源氏	540	550	I	の	の	ノ	助詞-格助詞			ノ	和
07.01紅葉賀	OH_OO渋谷源氏	550	560	I	常	常	ツネ	名詞-普通名詞-一般			ツネ	和
07.01紅葉賀	OH_OO渋谷源氏	560	580	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
07.01紅葉賀	OH_OO渋谷源氏	580	590	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
07.01紅葉賀	OH_OO渋谷源氏	590	600	I	、	、		補助記号-読点				記号
07.01紅葉賀	OH_OO渋谷源氏	600	660	I	おもしろかる	面白い	オモシロイ	形容詞-一般	文語形容詞-ク	連体形-補助	オモシロカル	和
07.01紅葉賀	OH_OO渋谷源氏	660	680	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
07.01紅葉賀	OH_OO渋谷源氏	680	700	I	たび	度	タビ	名詞-普通名詞-助数詞可能			タビ	和
07.01紅葉賀	OH_OO渋谷源氏	700	710	I	の	の	ノ	助詞-格助詞			ノ	和
07.01紅葉賀	OH_OO渋谷源氏	710	730	I	こと	事	コト	名詞-普通名詞-一般			コト	和
07.01紅葉賀	OH_OO渋谷源氏	730	750	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-一般	ナリ	和
07.01紅葉賀	OH_OO渋谷源氏	750	770	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
07.01紅葉賀	OH_OO渋谷源氏	770	780	I	ば	ば	バ	助詞-接続助詞			バ	和
07.01紅葉賀	OH_OO渋谷源氏	780	790	I	、	、		補助記号-読点				記号
07.01紅葉賀	OH_OO渋谷源氏	790	800	I	御	御	オオン	接頭辞			オオン	和
07.01紅葉賀	OH_OO渋谷源氏	800	820	I	方々	方々	カタガタ	名詞-普通名詞-一般			カタガタ	和
07.01紅葉賀	OH_OO渋谷源氏	820	830	I	、	、		補助記号-読点				記号
07.01紅葉賀	OH_OO渋谷源氏	830	840	I	物	物	モノ	名詞-普通名詞-サ変可能			モノ	和
07.01紅葉賀	OH_OO渋谷源氏	840	850	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
07.01紅葉賀	OH_OO渋谷源氏	850	880	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
07.01紅葉賀	OH_OO渋谷源氏	880	890	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
07.01紅葉賀	OH_OO渋谷源氏	890	910	I	こと	事	コト	名詞-普通名詞-一般			コト	和
07.01紅葉賀	OH_OO渋谷源氏	910	920	I	を	を	ヲ	助詞-格助詞			オ	和
07.01紅葉賀	OH_OO渋谷源氏	920	950	I	口惜し	口惜しい	クチオシイ	形容詞-一般	文語形容詞-シク	語幹-一般	クチオシ	和
07.01紅葉賀	OH_OO渋谷源氏	950	970	I	がり	がる	ガル	接尾辞-動詞的	文語四段-ラ行	連用形-一般	ガリ	和
07.01紅葉賀	OH_OO渋谷源氏	970	1000	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
07.01紅葉賀	OH_OO渋谷源氏	1000	1010	I	。	。		補助記号-句点				記号
07.01紅葉賀	OH_OO渋谷源氏	1010	1030	B	主上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
07.01紅葉賀	OH_OO渋谷源氏	1030	1040	I	も	も	モ	助詞-係助詞			モ	和
07.01紅葉賀	OH_OO渋谷源氏	1040	1050	I	、	、		補助記号-読点				記号
07.01紅葉賀	OH_OO渋谷源氏	1050	1070	I	藤壺	藤壺	フジツボ	名詞-固有名詞-一般			フジツボ	固
07.01紅葉賀	OH_OO渋谷源氏	1070	1080	I	の	の	ノ	助詞-格助詞			ノ	和
